jMRUI Results Textfile

Filename: Pat01_31P MRS_0000.rda

Name of Patient: Test DATA Hannah 
Date of Experiment: 20190409
Spectrometer: Skyra
Additional Information: Studien

Points	Samp.Int.	ZeroOrder	BeginTime	Tra.Freq.	Magn.F.	Nucleus
1024      	5E-1      	-1.7889E-1	2.3E0     	4.9894E7  	3E0       	1E0       

Name of Algorithm: AMARES

PETH	PI	GPE	GPC	PCRE	ATP-G-1	ATP-G-2	ATP-A-1	ATP-A-2	ATP-B-1	ATP-B-2	ATP-B-3	PCHO	MM	NAD(H)	

Frequencies (ppm)
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
6.7349E0	4.8855E0	3.6361E0	2.6885E0	-4.9481E-2	-2.7048E0	-3.0255E0	-7.6381E0	-7.9588E0	-1.6123E1	-1.6444E1	-1.6765E1	6.1917E0	2.1392E0	-8.4974E0	
6.673E0	4.7874E0	3.287E0	2.7365E0	-1.1139E-1	-2.5359E0	-2.8566E0	-7.5893E0	-7.91E0	-1.6105E1	-1.6426E1	-1.6747E1	6.1298E0	2.0772E0	-8.5593E0	
6.6768E0	4.7819E0	3.4248E0	2.8016E0	-1.0753E-1	-2.4931E0	-2.8138E0	-7.5592E0	-7.8799E0	-1.611E1	-1.643E1	-1.6751E1	6.1337E0	2.0811E0	-8.5554E0	
6.6832E0	4.7764E0	3.4494E0	2.861E0	-1.0112E-1	-2.4705E0	-2.7912E0	-7.5467E0	-7.8674E0	-1.6142E1	-1.6463E1	-1.6784E1	6.1401E0	2.0875E0	-8.549E0	
6.6915E0	4.7793E0	3.4558E0	2.894E0	-9.2881E-2	-2.4538E0	-2.7744E0	-7.5378E0	-7.8584E0	-1.616E1	-1.648E1	-1.6801E1	6.1483E0	2.0958E0	-8.5408E0	
6.698E0	4.7894E0	3.4491E0	2.9007E0	-8.6386E-2	-2.4458E0	-2.7665E0	-7.531E0	-7.8517E0	-1.6164E1	-1.6484E1	-1.6805E1	6.1548E0	2.1022E0	-8.5343E0	
6.6998E0	4.7994E0	3.4226E0	2.8942E0	-8.4604E-2	-2.449E0	-2.7697E0	-7.5277E0	-7.8484E0	-1.6166E1	-1.6487E1	-1.6807E1	6.1566E0	2.104E0	-8.5325E0	
6.7044E0	4.8046E0	3.287E0	2.8337E0	-7.9994E-2	-2.4591E0	-2.7798E0	-7.5234E0	-7.8441E0	-1.6181E1	-1.6502E1	-1.6823E1	6.1612E0	2.1086E0	-8.5279E0	
6.7412E0	4.8086E0	3.287E0	2.7672E0	-4.3152E-2	-2.44E0	-2.7607E0	-7.4956E0	-7.8163E0	-1.6205E1	-1.6526E1	-1.6847E1	6.1981E0	2.1455E0	-8.491E0	
6.7993E0	4.8198E0	3.4356E0	2.7448E0	1.4899E-2	-2.3469E0	-2.6676E0	-7.4006E0	-7.7212E0	-1.6237E1	-1.6558E1	-1.6878E1	6.2561E0	2.2035E0	-8.433E0	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
6.754E0	4.807E0	3.6376E0	2.7816E0	-3.0406E-2	-2.2305E0	-2.5512E0	-7.6028E0	-7.9235E0	-1.6105E1	-1.6426E1	-1.6746E1	6.2108E0	2.1582E0	-8.4783E0	
6.6768E0	4.7896E0	3.373E0	2.7783E0	-1.0757E-1	-2.5444E0	-2.8651E0	-7.6047E0	-7.9254E0	-1.6142E1	-1.6463E1	-1.6783E1	6.1336E0	2.0811E0	-8.5555E0	
6.681E0	4.7767E0	3.412E0	2.8247E0	-1.0333E-1	-2.5092E0	-2.8299E0	-7.571E0	-7.8916E0	-1.6173E1	-1.6494E1	-1.6815E1	6.1379E0	2.0853E0	-8.5512E0	
6.6931E0	4.766E0	3.436E0	2.8982E0	-9.1271E-2	-2.4826E0	-2.8033E0	-7.55E0	-7.8706E0	-1.6188E1	-1.6509E1	-1.6829E1	6.1499E0	2.0974E0	-8.5392E0	
6.7067E0	4.7667E0	3.447E0	2.913E0	-7.7675E-2	-2.4618E0	-2.7825E0	-7.5358E0	-7.8565E0	-1.6191E1	-1.6511E1	-1.6832E1	6.1635E0	2.111E0	-8.5256E0	
6.7173E0	4.7782E0	3.4467E0	2.9183E0	-6.7021E-2	-2.4508E0	-2.7715E0	-7.5281E0	-7.8488E0	-1.619E1	-1.6511E1	-1.6832E1	6.1742E0	2.1216E0	-8.5149E0	
6.7228E0	4.7983E0	3.4336E0	2.9198E0	-6.157E-2	-2.4517E0	-2.7724E0	-7.5293E0	-7.8499E0	-1.6193E1	-1.6514E1	-1.6835E1	6.1796E0	2.1271E0	-8.5095E0	
6.7296E0	4.8112E0	3.2971E0	2.9122E0	-5.4791E-2	-2.4561E0	-2.7768E0	-7.5344E0	-7.8551E0	-1.6212E1	-1.6533E1	-1.6854E1	6.1864E0	2.1338E0	-8.5027E0	
6.7565E0	4.8187E0	3.6477E0	2.9144E0	-2.7851E-2	-2.4216E0	-2.7423E0	-7.5139E0	-7.8346E0	-1.6234E1	-1.6555E1	-1.6875E1	6.2134E0	2.1608E0	-8.4757E0	
6.7971E0	4.8338E0	3.6477E0	2.898E0	1.2714E-2	-2.3554E0	-2.6761E0	-7.4494E0	-7.7701E0	-1.6252E1	-1.6573E1	-1.6893E1	6.2539E0	2.2013E0	-8.4352E0	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	-2.2711E-1	
